Sala: 101 , Prédio: CAA , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Introdução À Física Nuclear E De Partículas , Administração , Radiobiologia , Física Aplicada À Biologia , Promoção Da Saúde I 
08:00:00 - 08:50:00 , , , , , , , 
08:50:00 - 09:40:00 , , , , , , , 
10:00:00 - 10:50:00 , , , , , , , 
10:50:00 - 11:40:00 , , , , , , , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , , , , , 
16:00:00 - 16:50:00 , , , , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: Sala , Prédio: CAJ3 , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , , , 
08:50:00 - 09:40:00 , , , , , , , 
10:00:00 - 10:50:00 , , , , , , , 
10:50:00 - 11:40:00 , , , , , , , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , , , , , 
16:00:00 - 16:50:00 , , , , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: Sala , Prédio: CAJ3 , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , , , 
08:50:00 - 09:40:00 , , , , , , , 
10:00:00 - 10:50:00 , , , , , , , 
10:50:00 - 11:40:00 , , , , , , , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , , , , , 
16:00:00 - 16:50:00 , , , , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 153 , Prédio: INF , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , , , 
08:50:00 - 09:40:00 , , , , , , , 
10:00:00 - 10:50:00 , , , , , , , 
10:50:00 - 11:40:00 , , , , , , , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , , , , , 
16:00:00 - 16:50:00 , , , , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 154 , Prédio: INF , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , , , 
08:50:00 - 09:40:00 , , , , , , , 
10:00:00 - 10:50:00 , , , , , , , 
10:50:00 - 11:40:00 , , , , , , , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , , , , , 
16:00:00 - 16:50:00 , , , , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 152 , Prédio: INF , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , , , 
08:50:00 - 09:40:00 , , , , , , , 
10:00:00 - 10:50:00 , , , , , , , 
10:50:00 - 11:40:00 , , , , , , , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , , , , , 
16:00:00 - 16:50:00 , , , , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 151 , Prédio: INF , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , , , 
08:50:00 - 09:40:00 , , , , , , , 
10:00:00 - 10:50:00 , , , , , , , 
10:50:00 - 11:40:00 , , , , , , , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , , , , , 
16:00:00 - 16:50:00 , , , , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: Sala , Prédio: CAJ2 , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , , , 
08:50:00 - 09:40:00 , , , , , , , 
10:00:00 - 10:50:00 , , , , , , , 
10:50:00 - 11:40:00 , , , , , , , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , , , , , 
16:00:00 - 16:50:00 , , , , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 06 , Prédio: FEF , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , , , 
08:50:00 - 09:40:00 , , , , , , , 
10:00:00 - 10:50:00 , , , , , , , 
10:50:00 - 11:40:00 , , , , , , , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , , , , , 
16:00:00 - 16:50:00 , , , , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 10 , Prédio: FEF , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , , , 
08:50:00 - 09:40:00 , , , , , , , 
10:00:00 - 10:50:00 , , , , , , , 
10:50:00 - 11:40:00 , , , , , , , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , , , , , 
16:00:00 - 16:50:00 , , , , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 11 , Prédio: FEF , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , , , 
08:50:00 - 09:40:00 , , , , , , , 
10:00:00 - 10:50:00 , , , , , , , 
10:50:00 - 11:40:00 , , , , , , , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , , , , , 
16:00:00 - 16:50:00 , , , , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 08 , Prédio: FEF , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , , , 
08:50:00 - 09:40:00 , , , , , , , 
10:00:00 - 10:50:00 , , , , , , , 
10:50:00 - 11:40:00 , , , , , , , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , , , , , 
16:00:00 - 16:50:00 , , , , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 102 , Prédio: CAC , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Geografia Da População I , , , Introdução À Arquitetura I , 
08:50:00 - 09:40:00 , , , Geografia Da População I , , , Introdução À Arquitetura I , 
10:00:00 - 10:50:00 , , , Geografia Da População I , , , Introdução À Arquitetura I , 
10:50:00 - 11:40:00 , , , Geografia Da População I , , , Introdução À Arquitetura I , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , , , , , 
16:00:00 - 16:50:00 , , , , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 12 , Prédio: FEF , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , , , 
08:50:00 - 09:40:00 , , , , , , , 
10:00:00 - 10:50:00 , , , , , , , 
10:50:00 - 11:40:00 , , , , , , , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , , , , , 
16:00:00 - 16:50:00 , , , , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 09 , Prédio: FEF , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , , , 
08:50:00 - 09:40:00 , , , , , , , 
10:00:00 - 10:50:00 , , , , , , , 
10:50:00 - 11:40:00 , , , , , , , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , , , , , 
16:00:00 - 16:50:00 , , , , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: Láboratorio , Prédio: CAJ3 , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , , , 
08:50:00 - 09:40:00 , , , , , , , 
10:00:00 - 10:50:00 , , , , , , , 
10:50:00 - 11:40:00 , , , , , , , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , , , , , 
16:00:00 - 16:50:00 , , , , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 01 , Prédio: FEF , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , , , 
08:50:00 - 09:40:00 , , , , , , , 
10:00:00 - 10:50:00 , , , , , , , 
10:50:00 - 11:40:00 , , , , , , , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , , , , , 
16:00:00 - 16:50:00 , , , , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 02 , Prédio: FEF , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , , , 
08:50:00 - 09:40:00 , , , , , , , 
10:00:00 - 10:50:00 , , , , , , , 
10:50:00 - 11:40:00 , , , , , , , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , , , , , 
16:00:00 - 16:50:00 , , , , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 03 , Prédio: FEF , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , , , 
08:50:00 - 09:40:00 , , , , , , , 
10:00:00 - 10:50:00 , , , , , , , 
10:50:00 - 11:40:00 , , , , , , , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , , , , , 
16:00:00 - 16:50:00 , , , , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 150 , Prédio: INF , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , , , 
08:50:00 - 09:40:00 , , , , , , , 
10:00:00 - 10:50:00 , , , , , , , 
10:50:00 - 11:40:00 , , , , , , , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , , , , , 
16:00:00 - 16:50:00 , , , , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: Sala , Prédio: CAJ1 , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , , , 
08:50:00 - 09:40:00 , , , , , , , 
10:00:00 - 10:50:00 , , , , , , , 
10:50:00 - 11:40:00 , , , , , , , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , , , , , 
16:00:00 - 16:50:00 , , , , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 102 , Prédio: CAC1 , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Estruturas De Dados , Estruturas De Dados , Química Geral 
08:00:00 - 08:50:00 , , , Ciência Política Iii , Métodos Quantitativos , Estruturas De Dados , Estruturas De Dados , Resistência Dos Materiais 2 
08:50:00 - 09:40:00 , , , Ciência Política Iii , Métodos Quantitativos , Saúde Coletiva I , Química Geral Teórica , Hidrogeologia 
10:00:00 - 10:50:00 , , , Ciência Política Iii , Métodos Quantitativos , Saúde Coletiva I , Química Geral Teórica , Hidrogeologia 
10:50:00 - 11:40:00 , , , Ciência Política Iii , Banco De Dados , Saúde Coletiva I , Banco De Dados , Resistência Dos Materiais 2 
11:40:00 - 12:30:00 , , , , Banco De Dados , , Banco De Dados , Tutorial Em Saúde Iii 
13:10:00 - 14:00:00 , , , Tutorial Em Saúde Ii , Saúde Mental I , Controle Estatístico De Processo , Controle Estatístico De Processo , Hidrogeologia 
14:00:00 - 14:50:00 , , , Saúde Mental I , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Saúde Coletiva I 
14:50:00 - 15:40:00 , , , Saúde Mental I , Saúde Mental I , Controle Estatístico De Processo , Controle Estatístico De Processo , Saúde Coletiva I 
16:00:00 - 16:50:00 , , , Gestão De Projetos , Gestão De Projetos , Gestão De Projetos , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Saúde Coletiva I 
16:50:00 - 17:40:00 , , , Gestão De Projetos , Gestão De Projetos , Gestão De Projetos , , Saúde Coletiva I 
17:40:00 - 18:30:00 , , , Tutorial Em Saúde Iii , , , , 
18:05:00 - 18:50:00 , , , Geologia I , , Fundamentos De Astronomia , , Pedologia 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , Geologia I , Pedologia , Pedologia , Matemática Para Ciências Da Natureza I , Pedologia 
20:30:00 - 21:15:00 , , , Geologia I , Pedologia , Pedologia , Matemática Para Ciências Da Natureza I , Pedologia 
21:15:00 - 22:00:00 , , , Geografia Urbana , Matemática Para Ciências Da Natureza I , Matemática Para Ciências Da Natureza I , Pedologia , Pedologia 
Sala: 103 , Prédio: CAC1 , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Saúde Coletiva I , , Tutorial Em Saúde Ii 
08:00:00 - 08:50:00 , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Sociologia I , Saúde Coletiva I , Didática E Prática De Ensino Em Ciências Sociais Ii , Química Geral 
08:50:00 - 09:40:00 , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Sociologia I , Química Geral Teórica , Química Geral , Resistência Dos Materiais 2 
10:00:00 - 10:50:00 , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Sociologia I , Química Geral Teórica , Química Geral , Resistência Dos Materiais 2 
10:50:00 - 11:40:00 , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Métodos Quantitativos , Sociologia V , Antropologia I , Métodos E Técnicas De Pesquisa Social Ii 
11:40:00 - 12:30:00 , , , , Núcleos Temáticos De Pesquisa , , , 
13:10:00 - 14:00:00 , , , Tutorial Em Saúde Ii , Trabalho De Conclusão De Curso I , Controle Estatístico De Processo , Controle Estatístico De Processo , Hidrogeologia 
14:00:00 - 14:50:00 , , , Saúde Mental I , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Saúde Coletiva I 
14:50:00 - 15:40:00 , , , Saúde Mental I , Trabalho De Conclusão De Curso I , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Obras De Terra 
16:00:00 - 16:50:00 , , , Saúde Mental I , Fundamentos Da Matemática Aplicados À Química , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Obras De Terra 
16:50:00 - 17:40:00 , , , Saúde Mental I , Fundamentos Da Matemática Aplicados À Química , , , Obras De Terra 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , Geografia Urbana , Matemática Para Ciências Da Natureza I , Fundamentos De Astronomia , Antropologia Iii , Física I 
20:30:00 - 21:15:00 , , , Geografia Urbana , Matemática Para Ciências Da Natureza I , Fundamentos De Astronomia , Antropologia Iii , Física I 
21:15:00 - 22:00:00 , , , Geografia Urbana , Matemática Para Ciências Da Natureza I , Matemática Para Ciências Da Natureza I , Pedologia , Pedologia 
Sala: 104 , Prédio: CAC1 , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Saúde Coletiva I , , Tutorial Em Saúde Ii 
08:00:00 - 08:50:00 , , , Trabalho De Conclusão De Curso Ii , Laboratório De Prática De Ensino Ii , Sociologia V , Estatística Aplicada Às Ciências Sociais , Métodos E Técnicas De Pesquisa Social Ii 
08:50:00 - 09:40:00 , , , Trabalho De Conclusão De Curso Ii , Laboratório De Prática De Ensino Ii , Química Geral , Didática E Prática De Ensino Em Ciências Sociais Ii , Métodos E Técnicas De Pesquisa Social Ii 
10:00:00 - 10:50:00 , , , Trabalho De Conclusão De Curso Ii , Laboratório De Prática De Ensino Ii , Química Geral , Didática E Prática De Ensino Em Ciências Sociais Ii , Métodos E Técnicas De Pesquisa Social Ii 
10:50:00 - 11:40:00 , , , Trabalho De Conclusão De Curso Ii , Sociologia I , Antropologia Iii , Didática E Prática De Ensino Em Ciências Sociais Ii , Mét. E Téc. De Pesq Social I - Metodologia Teórica 
11:40:00 - 12:30:00 , , , , Parasitologia Humana , , , 
13:10:00 - 14:00:00 , , , Tutorial Em Saúde Ii , , , Didática E Prática De Ensino Em Ciências Sociais Ii , Obras De Terra 
14:00:00 - 14:50:00 , , , Saúde Mental I , , , , Saúde Coletiva I 
14:50:00 - 15:40:00 , , , Saúde Mental I , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Estágio Supervisionado I 
16:00:00 - 16:50:00 , , , Saúde Mental I , Trabalho De Conclusão De Curso I , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Saúde Coletiva I 
16:50:00 - 17:40:00 , , , Saúde Mental I , Trabalho De Conclusão De Curso I , , , Saúde Coletiva I 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , Políticas Educacionais No Brasil , Psicologia Da Educação I , Matemática Para Ciências Da Natureza I , Pesquisa Histórica Ii , Matemática Para Ciências Da Natureza I 
20:30:00 - 21:15:00 , , , Políticas Educacionais No Brasil , Psicologia Da Educação I , Matemática Para Ciências Da Natureza I , Pesquisa Histórica Ii , Matemática Para Ciências Da Natureza I 
21:15:00 - 22:00:00 , , , Políticas Educacionais No Brasil , Geologia I , Pedologia , Matemática Para Ciências Da Natureza I , Matemática Para Ciências Da Natureza I 
Sala: 105 , Prédio: CAC1 , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , Saúde Coletiva I , , 
08:00:00 - 08:50:00 , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Ciência Política V , Antropologia Iii , Sociologia Iii , Mét. E Téc. De Pesq Social I - Metodologia Teórica 
08:50:00 - 09:40:00 , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Ciência Política V , Sociologia V , Estatística Aplicada Às Ciências Sociais , Mét. E Téc. De Pesq Social I - Metodologia Teórica 
10:00:00 - 10:50:00 , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Ciência Política V , Sociologia V , Estatística Aplicada Às Ciências Sociais , Mét. E Téc. De Pesq Social I - Metodologia Teórica 
10:50:00 - 11:40:00 , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Laboratório De Prática De Ensino Ii , Estágio Supervisionado Iii , Estatística Aplicada Às Ciências Sociais , Tutorial Em Saúde Iii 
11:40:00 - 12:30:00 , , , , Núcleos Temáticos De Pesquisa , , , 
13:10:00 - 14:00:00 , , , Tutorial Em Saúde Ii , , , , Estágio Supervisionado I 
14:00:00 - 14:50:00 , , , Saúde Mental I , , , , Saúde Coletiva I 
14:50:00 - 15:40:00 , , , Tutorial Em Saúde Ii , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Saúde Coletiva I 
16:00:00 - 16:50:00 , , , Saúde Mental I , Saúde Mental I , , , Saúde Coletiva I 
16:50:00 - 17:40:00 , , , Saúde Mental I , , , , Saúde Coletiva I 
17:40:00 - 18:30:00 , , , , , , , 
